FileName;Frame;Channel;Id;X;Y;Z;Size;Perimeter;Length;Intensity
%background:/tmp/test/3 Ctrl3.tif
3 Ctrl3.tif;0;0;1;51.0;20.5;0.0;8.0;14.0;2.0;80.33459644161825
3 Ctrl3.tif;0;0;2;34.27777862548828;22.11111068725586;0.0;18.0;20.0;1.0;181.74097294552973
3 Ctrl3.tif;0;0;3;21.787878036499023;26.272727966308594;0.0;33.0;26.0;3.0;205.58991178413734
3 Ctrl3.tif;0;0;4;31.352941513061523;30.0;0.0;17.0;20.0;2.0;164.36403019167284
3 Ctrl3.tif;0;0;5;45.20000076293945;32.13333511352539;0.0;15.0;18.0;2.0;181.65379420542627
3 Ctrl3.tif;0;0;6;56.58620834350586;41.72413635253906;0.0;29.0;22.0;2.0;193.4273959298316
3 Ctrl3.tif;0;0;7;26.83333396911621;50.83333206176758;0.0;6.0;12.0;1.0;17.59314982963717
3 Ctrl3.tif;0;0;8;40.0;0.0;0.0;3.0;3.0;3.0;46.592863762872135
3 Ctrl3.tif;0;0;9;43.0;9.789473533630371;0.0;19.0;20.0;1.0;102.08769085185473
3 Ctrl3.tif;0;0;10;21.83333396911621;13.833333015441895;0.0;6.0;12.0;1.0;60.92908001608911
3 Ctrl3.tif;0;0;11;40.900001525878906;18.049999237060547;0.0;20.0;20.0;2.0;168.61073543313248
3 Ctrl3.tif;0;1;1;46.875;44.125;0.0;8.0;12.0;2.0;101.31633703645592
3 Ctrl3.tif;0;1;2;59.0;44.5;0.0;2.0;2.0;2.0;79.2093649257416
3 Ctrl3.tif;0;1;3;20.15151596069336;49.06060791015625;0.0;33.0;32.0;9.0;59.95467215224245
3 Ctrl3.tif;0;1;4;6.7272725105285645;48.54545593261719;0.0;22.0;22.0;4.0;20.48572917173497
3 Ctrl3.tif;0;1;5;58.125;49.125;0.0;8.0;10.0;2.0;36.63604239594283
3 Ctrl3.tif;0;1;6;32.62963104248047;58.925926208496094;0.0;27.0;28.0;8.0;26.641782513302545
3 Ctrl3.tif;0;1;7;15.333333015441895;59.22222137451172;0.0;9.0;14.0;2.0;123.60578487470806
3 Ctrl3.tif;0;1;8;22.066667556762695;60.13333511352539;0.0;15.0;15.0;4.0;21.466292716986604
3 Ctrl3.tif;0;1;9;52.0;61.0;0.0;3.0;3.0;3.0;59.33162611767026
3 Ctrl3.tif;0;1;10;55.33333206176758;5.333333492279053;0.0;3.0;8.0;1.0;111.7875727823517
3 Ctrl3.tif;0;1;11;57.125;8.5;0.0;8.0;14.0;2.0;161.43885466133224
3 Ctrl3.tif;0;1;12;52.394737243652344;20.973684310913086;0.0;38.0;44.0;10.0;36.140614118337815
3 Ctrl3.tif;0;1;13;16.636363983154297;18.636363983154297;0.0;11.0;16.0;2.0;145.71485152171635
3 Ctrl3.tif;0;1;14;8.533333778381348;23.66666603088379;0.0;15.0;18.0;2.0;157.25817820774267
3 Ctrl3.tif;0;1;15;0.0;25.0;0.0;3.0;3.0;3.0;23.96244709306858
3 Ctrl3.tif;0;1;16;18.049999237060547;29.75;0.0;20.0;20.0;1.0;56.63773883180194
3 Ctrl3.tif;0;1;17;26.928571701049805;29.85714340209961;0.0;14.0;18.0;3.0;181.57015715912152
3 Ctrl3.tif;0;1;18;45.681819915771484;29.5;0.0;22.0;24.0;4.0;47.64742300597177
3 Ctrl3.tif;0;1;19;10.666666984558105;43.733333587646484;0.0;15.0;20.0;4.0;133.41574419948776
3 Ctrl3.tif;0;1;20;29.649999618530273;48.349998474121094;0.0;40.0;46.0;11.0;83.1545030661827
